"countryname","decade","Mean(HHI)","Mean(ENPP)"
"Austria",1990,27.811241725,3.6191096146434583
"Austria",2000,26.878065813333336,3.8622953370960453
"Austria",2010,22.48984061333333,4.496801343831488
"Belgium",1990,10.07977891,9.932359871424804
"Belgium",2000,10.578782570000001,9.49029981287708
"Belgium",2010,9.749728423499214,10.280682222799182
"Bulgaria",1990,29.6794619275,3.480876836603322
"Bulgaria",2000,21.560188713333336,4.759173724012235
"Bulgaria",2010,18.448143526666662,5.438696836416091
"Croatia",1990,27.7006004,3.656477650919615
"Croatia",2000,22.253832860000003,4.561937782677313
"Croatia",2010,22.79160291333333,4.388139416546766
"Croatia",2020,22.25303928,4.493768187875144
"Cyprus",1990,26.268388000000005,3.806857124236173
"Cyprus",2000,25.125313065,4.001880929616539
"Cyprus",2010,22.698227925,4.495230199356832
"Denmark",1990,20.89212008,4.787127000316538
"Denmark",2000,19.670637356666667,5.101487401802062
"Denmark",2010,16.656868323333335,6.0220193981261785
"Estonia",1990,13.961084576666664,7.384322078275123
"Estonia",2000,19.069319899999996,5.251009269753261
"Estonia",2010,19.826471103333336,5.051381534463382
"Finland",1990,17.027046613333336,5.873667594727703
"Finland",2000,17.3610507,5.761939074646749
"Finland",2010,14.689679060000001,6.83466410886639
"France",1990,14.757164715,6.776879712017745
"France",2000,21.119973745,4.765162681029736
"France",2010,16.6002384,6.123815267414855
"Germany",1990,31.167962796666668,3.209990145107202
"Germany",2000,26.32989136333333,3.8874937280530526
"Germany",2010,22.615411709999997,4.510056806006965
"Germany",2020,17.227044000000003,5.80482641131003
"Greece",1990,36.14335149,2.7807085302276535
"Greece",2000,34.9976613775,2.874777751363587
"Greece",2010,20.164049035050752,5.450045770761191
"Hungary",1990,17.85601733333333,5.817552383210656
"Hungary",2000,38.226117425,2.6362474508850022
"Hungary",2010,36.110583246666664,2.955262240416292
"Ireland",1990,25.058195085,3.99118306003668
"Ireland",2000,25.34621038,3.9541351210794105
"Ireland",2010,18.083960349999998,5.67262381181178
"Ireland",2020,16.149273047591606,6.192229192317318
"Italy",1990,14.429554303333335,6.937421898607143
"Italy",2000,19.97876867333333,5.232061728304551
"Italy",2010,18.970472754999996,5.2723283896548665
"Latvia",1990,13.429730313333334,7.730146982477564
"Latvia",2000,13.74077198,7.301249961843928
"Latvia",2010,18.0133178975,5.861150843436559
"Lithuania",1990,19.535834265,5.732158031649569
"Lithuania",2000,15.0931485,6.996723258817792
"Lithuania",2010,13.62129462,7.354259542586804
"Lithuania",2020,13.521334761650438,7.395719561919479
"Luxembourg",1990,21.0784,4.744244093271746
"Luxembourg",2000,23.438718979999997,4.266451394527903
"Luxembourg",2010,20.49806119,4.878510170941684
"Malta",1990,48.74613513,2.0514656218296565
"Netherlands",1990,18.449634984999996,5.435115332522337
"Netherlands",2000,17.959366593333336,5.606395713402932
"Netherlands",2010,14.276162473333335,7.1623119947393965
"Netherlands",2020,10.795923822710682,9.262755243755658
"Poland",1990,12.293544923333332,10.523905452587158
"Poland",2000,22.899933009999998,4.6189661147257945
"Poland",2010,26.01839154,3.8961677777609585
"Portugal",1990,33.789980670000006,2.9657340153726377
"Portugal",2000,30.175082553333336,3.3510850580165386
"Portugal",2010,26.962393683333335,3.7245213634921357
"Romania",1990,25.23907163666666,5.123674476094085
"Romania",2000,23.140443243333333,4.414304565427518
"Romania",2010,32.895335100000004,3.16056133394304
"Slovakia",1990,17.679793082500005,5.665139453832548
"Slovakia",2000,13.47574294,7.706116623827622
"Slovakia",2010,17.886244906666665,5.844737728730481
"Slovenia",1990,12.65841303,8.122228232985734
"Slovenia",2000,18.721870566666663,5.381656178603764
"Slovenia",2010,16.08214541,6.484723186058242
"Spain",1990,29.691323169999997,3.370948060187281
"Spain",2000,33.69481170666666,2.9762306982594575
"Spain",2010,19.893153114,5.301454690878643
"Sweden",1990,23.747960343333332,4.257323912946364
"Sweden",2000,21.755866639999997,4.5979327540046295
"Sweden",2010,18.840117516666663,5.340493582216296
"Sweden",2020,18.725083746620033,5.340430053780159
