"","","","","Voter Turnout Database","","",""
"Country","ISO2","ISO3","Date","Parliamentary>Voter Turnout","Parliamentary>Registration","Parliamentary>Voting age population","Parliamentary>Population"
"Albania","AL","ALB","2017‑07‑25","46.76","3452324","2356975","3047987"
"Albania","AL","ALB","2013‑06‑23","53.31","3271885","2274815","3011405"
"Albania","AL","ALB","2009‑06‑28","50.77","3084946","2266221","3194417"
"Albania","AL","ALB","2005‑07‑03","48.73","2850821","2356387","3563112"
"Albania","AL","ALB","2001‑07‑08","54.95","2499238","2040574","3490435"
"Albania","AL","ALB","1997‑06‑29","72.56","1947235","2228430","3510500"
"Albania","AL","ALB","1996‑05‑26","89.08","2204002","2193030","3481000"
"Albania","AL","ALB","1992‑03‑22","91.5","2000000","2051430","3363000"
"Albania","AL","ALB","1991‑03‑31","98.92","1984933","1985550","3255000"
"Andorra","AD","AND","2019‑04‑07","68.33","27278","71161","85684"
"Andorra","AD","AND","2015‑03‑01","65.62","24512","70017","85458"
"Andorra","AD","AND","2011‑04‑03","74.12","21852","69267","84825"
"Andorra","AD","AND","2009‑04‑26","75.34","20298","58867","83888"
"Andorra","AD","AND","2005‑04‑24","80.38","16022","61268","71201"
"Andorra","AD","AND","2001‑03‑04","81.64","13342","68338","67627"
"Andorra","AD","AND","1997‑02‑16","81.59","10837","10837","70000"
"Andorra","AD","AND","1993‑12‑12","80.92","9675","9675","63000"
"Austria","AT","AUT","2019‑09‑29","75.59","6396812","7508169","8828456"
"Austria","AT","AUT","2017‑10‑15","80","6400993","7443978","8754413"
"Austria","AT","AUT","2013‑09‑29","74.91","6384331","7260801","8562634"
"Austria","AT","AUT","2008‑09‑28","78.81","6333109","6600595","8205533"
"Austria","AT","AUT","2006‑10‑01","78.49","6107892","6548332","8192880"
"Austria","AT","AUT","2002‑11‑24","84.27","5912592","6432768","8150835"
"Austria","AT","AUT","1999‑10‑03","80.42","5838373","6463384","8156351"
"Austria","AT","AUT","1995‑12‑17","85.98","5768009","6306300","8085000"
"Austria","AT","AUT","1994‑10‑09","82.46","5774000","6263129","8029717"
"Austria","AT","AUT","1990‑10‑07","86.14","5628912","6025250","7825000"
"Belarus","BY","BLR","2019‑11‑17","77.31","6880605","7716337","9503591"
"Belarus","BY","BLR","2016‑09‑11","74.68","6978490","7797893","9570376"
"Belarus","BY","BLR","2012‑09‑23","74.2","7022221","7904831","9643566"
"Belarus","BY","BLR","2008‑09‑28","76.74","7016711","7741235","9685768"
"Belarus","BY","BLR","2004‑10‑17","90.14","6986163","7640118","10310520"
"Belarus","BY","BLR","2000‑10‑15","61.08","7254752","7607585","10142706"
"Belarus","BY","BLR","1995‑05‑14","56.4","7445800","7652340","10341000"
"Belgium","BE","BEL","2019‑05‑26","88.38","8167709","9261362","11647253"
"Belgium","BE","BEL","2014‑05‑25","89.37","8008776","8206762","10449361"
"Belgium","BE","BEL","2010‑06‑13","89.22","7767552","8186446","10423493"
"Belgium","BE","BEL","2007‑06‑10","91.08","7720796","8176805","10392226"
"Belgium","BE","BEL","2003‑05‑18","91.63","7570637","8070793","10274595"
"Belgium","BE","BEL","1999‑06‑13","90.57","7343466","7999572","10199967"
"Belgium","BE","BEL","1995‑05‑21","91.15","7199440","7887360","10112000"
"Belgium","BE","BEL","1991‑11‑24","92.71","7144884","7783620","9979000"
